github.com/willnorris/ts-corp,Unknown,Unknown
github.com/willnorris/ts-oss,https://github.com/willnorris/ts-oss/blob/e36712dfd2de/LICENSE,MIT
go4.org/legal,https://github.com/go4org/go4/blob/d4a079459e60/LICENSE,Apache-2.0
